sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed,agents_tyre_pm,agents_stopped,agents_total_delay,agents_total_wait,agents_avg_delay,agents_avg_wait,agents_avg_speed
25201.0,0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
25202.0,0,3.973251795489341,1,0.0,0.0,1.3244172651631136,0.0,1,0.0,0.0,0.0,0.0,0.0
25203.0,0,6.681841856311075,0,0.0,0.0,3.5516978839334725,1.7635102747473868,0,0.0,0.0,0.0,0.0,1.7635102747473868
25204.0,0,5.165388630889357,0,0.0,0.0,5.273494094229924,2.4768780637998136,0,0.0,0.0,0.0,0.0,4.2403883385472
25205.0,0,5.544662855239585,1,0.0,0.0,5.341286284482339,1.956207474623806,0,0.0,0.0,0.0,0.0,6.196595813171006
25206.0,0,8.49562753615901,1,0.0,0.0,5.972154534817673,3.7373531267279745,0,0.0,0.0,0.0,0.0,9.07707219835138
25207.0,0,8.15918719568338,2,0.0,0.0,5.2026760025581185,2.430122744967713,0,0.0,0.0,0.0,0.0,9.491519644902777
25208.0,0,7.19270978474528,0,0.0,0.0,6.228759906174817,1.9357394346912074,0,0.0,0.0,0.0,0.0,10.962215254011424
25209.0,0,8.882312441361137,0,0.0,0.0,7.3087556199801975,0.8360437349881966,0,0.0,0.0,0.0,0.0,10.800115684099666
25210.0,0,8.347757281549278,2,0.0,0.0,6.612116291267852,3.6919531634310276,1,0.0,0.0,0.0,0.0,8.719543503121203
25211.0,0,15.701347123647778,1,0.0,0.0,6.663458456787515,8.787309424339202,0,0.0,0.0,0.0,0.0,8.761843552552383
25212.0,0,15.870793581806957,2,0.0,0.0,6.102741809925501,8.84056319746365,0,0.0,0.0,0.0,0.0,8.675460905929896
25213.0,0,16.865621533677768,0,0.0,0.0,7.434638534210813,5.363795450344939,0,0.0,0.0,0.0,0.0,10.35351606613205
25214.0,0,20.84482810192968,0,0.0,0.0,8.44596073516456,9.271252416138157,0,0.0,0.0,0.0,0.0,10.484599597582793
25215.0,0,17.83279894088299,1,0.0,0.0,8.60543041492489,8.17960921671146,0,0.0,0.0,0.0,0.0,11.099754707554673
25216.0,0,19.228198360075396,1,0.0,0.0,8.541330112552226,7.724679743163483,0,0.0,0.0,0.0,0.0,10.680406477030662
25217.0,0,20.38953496532865,0,0.0,0.0,9.222809751556785,3.4485611488746044,0,0.0,0.0,0.0,0.0,10.721680722834137
25218.0,0,15.849497057436192,2,1.0,0.06666666666666667,9.1721206594343,4.546559974380352,1,1.0,1.0,0.16666666666666666,0.16666666666666666,10.991239814516298
25219.0,0,12.497922114432686,3,3.0,0.1875,8.88631230522637,3.2621839746040564,1,2.0,2.0,0.3333333333333333,0.3333333333333333,10.889632024749972
25220.0,0,15.812548460842804,1,3.0,0.1875,9.38192505828191,4.130846958519415,1,3.0,3.0,0.42857142857142855,0.42857142857142855,10.719897615305229
25221.0,0,12.712773146563517,2,4.0,0.23529411764705882,9.434381216028836,5.8151014855093015,2,4.0,4.0,0.4444444444444444,0.4444444444444444,10.26590943851149
25222.0,0,13.216920528442932,3,5.0,0.2631578947368421,8.935696629822386,8.389069179094731,2,5.0,5.0,0.5,0.5,9.861756568632057
25223.0,0,18.5491385953772,1,6.0,0.3157894736842105,9.082948691522084,8.372263001887685,1,6.0,6.0,0.75,0.75,9.44607580041879
25224.0,0,26.218045259678654,2,7.0,0.35,8.549439292419303,9.740463389664779,1,7.0,7.0,0.875,0.875,9.164789331789176
